student_id,district,school,grade,subject,class_size,network_quality,paper_type,questions_count,questions_detected,process_time_sec,review_time_sec,has_digit_ocr_error,has_mcq_error,has_corrected_pencil_error,session_code_lost,dashboard_cap_impacted,risk_tier
KAT-PUR-01,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,9,21.66435964585924,201.37804369378767,0,0,0,1,0,High
KAT-PUR-02,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,8,29.737638446522176,210.34869458305818,0,0,0,0,0,High
KAT-PUR-03,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,8,23.257365597929454,184.49660385643705,0,0,1,0,0,High
KAT-PUR-04,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,8,25.725886814698104,156.73439510684403,1,0,0,0,0,High
KAT-PUR-05,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,9,27.449335242853984,164.5224800476828,0,0,0,0,0,High
KAT-PUR-06,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,8,22.27592777343637,166.75392597329417,0,1,0,0,0,High
KAT-PUR-07,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,9,23.111575117227247,206.95440933825216,0,0,0,0,0,High
KAT-PUR-08,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,10,23.36685182642445,197.21845179419734,0,0,0,0,0,High
KAT-PUR-09,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,10,23.199238449682266,213.94879642093278,0,0,1,0,0,High
KAT-PUR-10,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,8,23.194880163311808,232.04556369017877,0,0,0,0,0,High
KAT-PUR-11,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,8,23.39905358847254,194.88944275359748,0,0,0,1,0,High
KAT-PUR-12,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,10,27.467634736309567,170.58312700057957,1,0,0,0,0,High
KAT-PUR-13,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,9,33.334939124657325,218.87279448564635,0,0,0,0,0,High
KAT-PUR-14,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,8,27.215399739986232,198.4273656237994,0,0,0,0,0,High
KAT-PUR-15,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,8,21.972743971404675,163.33411572926224,0,1,0,0,0,High
KAT-PUR-16,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,9,23.618083687120638,216.1424445243783,0,0,0,0,0,High
KAT-PUR-17,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,9,21.608343085955298,197.68857765256044,0,0,0,0,0,High
KAT-PUR-18,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,10,22.969233999082125,207.23352577681734,0,0,0,0,0,High
KAT-PUR-19,Katni,EPES Purwar,6,Math,35,Moderate_3G,PreLoaded_Printed,10,8,26.746368384139117,212.75496919186713,0,0,0,0,0,High
